x,y,shape
476,1011,Esférica/Redonda
97,1010,Ovalada/Elíptica
1339,1008,Ovalada/Elíptica
1228,1008,Esférica/Redonda
477,1008,Esférica/Redonda
94,1006,Ovalada/Elíptica
475,1005,Filamentosa
387,1005,Ovalada/Elíptica
716,1002,Esférica/Redonda
639,1002,Filamentosa
499,1000,Ovalada/Elíptica
386,1000,Ovalada/Elíptica
717,998,Ovalada/Elíptica
290,994,Filamentosa
1575,992,Esférica/Redonda
730,992,Esférica/Redonda
1574,989,Ovalada/Elíptica
886,982,Filamentosa
707,979,Esférica/Redonda
941,975,Esférica/Redonda
493,975,Ovalada/Elíptica
166,975,Esférica/Redonda
1083,974,Ovalada/Elíptica
890,974,Filamentosa
886,974,Esférica/Redonda
1077,973,Filamentosa
1645,972,Filamentosa
944,972,Esférica/Redonda
942,972,Filamentosa
493,970,Esférica/Redonda
343,969,Esférica/Redonda
341,968,Esférica/Redonda
1339,966,Esférica/Redonda
640,964,Ovalada/Elíptica
640,961,Esférica/Redonda
1119,960,Filamentosa
629,960,Esférica/Redonda
627,958,Esférica/Redonda
514,958,Esférica/Redonda
631,954,Esférica/Redonda
627,953,Esférica/Redonda
1516,950,Esférica/Redonda
1436,948,Esférica/Redonda
1082,948,Filamentosa
1480,946,Ovalada/Elíptica
1476,946,Esférica/Redonda
1229,944,Filamentosa
1,943,Filamentosa
979,931,Filamentosa
144,928,Ovalada/Elíptica
657,925,Filamentosa
1348,924,Ovalada/Elíptica
1354,922,Esférica/Redonda
222,922,Esférica/Redonda
221,919,Ovalada/Elíptica
1078,918,Esférica/Redonda
1476,916,Esférica/Redonda
1344,916,Ovalada/Elíptica
837,916,Filamentosa
1478,915,Filamentosa
1349,915,Esférica/Redonda
741,914,Esférica/Redonda
1349,913,Esférica/Redonda
1628,912,Esférica/Redonda
1033,912,Ovalada/Elíptica
1336,911,Ovalada/Elíptica
1345,910,Esférica/Redonda
1341,910,Esférica/Redonda
737,910,Filamentosa
1035,909,Ovalada/Elíptica
335,909,Esférica/Redonda
1337,908,Ovalada/Elíptica
1021,908,Filamentosa
196,908,Ovalada/Elíptica
296,907,Ovalada/Elíptica
295,902,Filamentosa
869,900,Esférica/Redonda
456,897,Esférica/Redonda
1313,895,Ovalada/Elíptica
